station_name,longitude,latitude
Brooklyn Bridge–City Hall/Chambers Street station,-74.00472222222223,40.71277777777778
Canal Street station (IND Eighth Avenue Line),-74.00527777777778,40.72194444444445
Canal Street station (New York City Subway),-74.0,40.718055555555566
Canal Street station (New York City Subway),-74.0,40.718055555555566
Canal Street station (IRT Broadway–Seventh Avenue Line),-74.00611111111111,40.72194444444445
Canal Street station (New York City Subway),-74.0,40.718055555555566
Canal Street station (New York City Subway),-74.0,40.718055555555566
Cathedral Parkway–110th Street station (IND Eighth Avenue Line),-73.95833333333334,40.80055555555556
Cathedral Parkway–110th Street station (IRT Broadway–Seventh Avenue Line),-73.96694444444445,40.803888888888885
Central Park North–110th Street station,-73.95222222222222,40.798611111111114
Chambers Street–World Trade Center/Park Place/Cortlandt Street station,-74.00972222222222,40.71277777777778
Chambers Street station (IRT Broadway–Seventh Avenue Line),-74.00916666666667,40.71555555555556
Brooklyn Bridge–City Hall/Chambers Street station,-74.00472222222223,40.71277777777778
Christopher Street–Sheridan Square station,-74.00305555555556,40.733055555555566
City Hall station (BMT Broadway Line),-74.00694444444444,40.713333333333345
Chambers Street–World Trade Center/Park Place/Cortlandt Street station,-74.00972222222222,40.71277777777778
Delancey Street/Essex Street station,-73.98833333333333,40.718611111111116
Dyckman Street station (IND Eighth Avenue Line),-73.92722222222223,40.86555555555557
Dyckman Street station (IRT Broadway–Seventh Avenue Line),-73.92500000000003,40.861111111111114
East Broadway station,-73.99027777777778,40.71416666666667
Delancey Street/Essex Street station,-73.98833333333333,40.718611111111116
Franklin Street station (IRT Broadway–Seventh Avenue Line),-74.00694444444444,40.71888888888889
Fulton Street station (New York City Subway),-74.00777777777778,40.71027777777778
Fulton Street station (New York City Subway),-74.00777777777778,40.71027777777778
Fulton Street station (New York City Subway),-74.00777777777778,40.71027777777778
Fulton Street station (New York City Subway),-74.00777777777778,40.71027777777778
Grand Central–42nd Street station,-73.9775,40.752222222222215
Grand Central–42nd Street station,-73.9775,40.752222222222215
Grand Central–42nd Street station,-73.9775,40.752222222222215
Grand Street station (IND Sixth Avenue Line),-73.99388888888889,40.718055555555566
Harlem–148th Street station,-73.93694444444445,40.823888888888895
Houston Street station (IRT Broadway–Seventh Avenue Line),-74.00527777777778,40.728611111111114
Inwood–207th Street station,-73.92111111111113,40.867777777777775
Lexington Avenue/51st Street station,-73.97194444444446,40.756944444444436
Lexington Avenue/59th Street station,-73.96777777777778,40.7625
Lexington Avenue–63rd Street station,-73.96638888888889,40.764722222222225
Marble Hill–225th Street station,-73.91000000000003,40.873888888888885
Chambers Street–World Trade Center/Park Place/Cortlandt Street station,-74.00972222222222,40.71277777777778
Prince Street station,-73.99777777777777,40.72416666666667
Rector Street station (BMT Broadway Line),-74.01305555555554,40.70777777777778
Rector Street station (IRT Broadway–Seventh Avenue Line),-74.01305555555554,40.70805555555556
Roosevelt Island station,-73.95333333333333,40.759166666666665
South Ferry/Whitehall Street station,-74.01277777777777,40.7025
Spring Street station (IND Eighth Avenue Line),-74.00416666666666,40.725555555555566
Spring Street station (IRT Lexington Avenue Line),-73.99722222222222,40.72222222222222
Times Square–42nd Street/Port Authority Bus Terminal station,-73.987,40.756
Times Square–42nd Street/Port Authority Bus Terminal station,-73.987,40.756
Times Square–42nd Street/Port Authority Bus Terminal station,-73.987,40.756
Times Square–42nd Street/Port Authority Bus Terminal station,-73.987,40.756
Wall Street station (IRT Broadway–Seventh Avenue Line),-74.00944444444444,40.70638888888889
Wall Street station (IRT Lexington Avenue Line),-74.01166666666667,40.70777777777778
West Fourth Street–Washington Square station,-74.00083333333333,40.73166666666667
South Ferry/Whitehall Street station,-74.01277777777777,40.7025
Chambers Street–World Trade Center/Park Place/Cortlandt Street station,-74.00972222222222,40.71277777777778
WTC Cortlandt station,-74.0125,40.711111111111116
21st Street station (IND Crosstown Line),-73.94861111111112,40.744722222222215
21st Street–Queensbridge station,-73.94250000000002,40.75388888888889
30th Avenue station,-73.9213888888889,40.766944444444434
33rd Street–Rawson Street station,-73.93130555555554,40.744616666666666
36th Avenue station,-73.92972222222222,40.75666666666667
36th Street station (IND Queens Boulevard Line),-73.92777777777778,40.751944444444455
39th Avenue station (BMT Astoria Line),-73.93305555555554,40.75277777777778
40th Street–Lowery Street station,-73.9241777777778,40.743811111111114
46th Street station (IND Queens Boulevard Line),-73.91416666666667,40.75666666666667
46th Street–Bliss Street station,-73.9184027777778,40.74313333333333
52nd Street station (IRT Flushing Line),-73.91286388888891,40.744036111111114
61st Street–Woodside station,-73.90296666666667,40.745608333333344
63rd Drive–Rego Park station,-73.86194444444443,40.73
65th Street station (IND Queens Boulevard Line),-73.89722222222224,40.749444444444435
67th Avenue station,-73.85361111111109,40.72694444444445
69th Street station (IRT Flushing Line),-73.89685,40.746258333333344
Jackson Heights–Roosevelt Avenue/74th Street station,-73.89111111111113,40.74666666666667
75th Avenue station,-73.83777777777777,40.718611111111116
75th Street–Elderts Lane station,-73.86666666666666,40.69138888888889
80th Street station (IND Fulton Street Line),-73.85777777777777,40.679444444444435
82nd Street–Jackson Heights station,-73.88382777777778,40.74763055555556
85th Street–Forest Parkway station,-73.86027777777777,40.6925
88th Street station,-73.85083333333333,40.67972222222222
90th Street–Elmhurst Avenue station,-73.87638888888887,40.748333333333335
103rd Street–Corona Plaza station,-73.86273333333331,40.749825
104th Street station (IND Fulton Street Line),-73.83722222222222,40.682222222222215
104th Street station (BMT Jamaica Line),-73.84333333333333,40.695277777777775
111th Street station (IRT Flushing Line),-73.85563611111111,40.75171388888889
111th Street station (IND Fulton Street Line),-73.83111111111111,40.68472222222222
111th Street station (BMT Jamaica Line),-73.83722222222222,40.69694444444443
121st Street station (BMT Jamaica Line),-73.82888888888887,40.70027777777778
169th Street station (IND Queens Boulevard Line),-73.79305555555554,40.710555555555565
Aqueduct Racetrack station,-73.83583333333333,40.67222222222222
Aqueduct–North Conduit Avenue station,-73.83416666666666,40.66833333333333
Astoria Boulevard station,-73.91805555555554,40.77
Astoria–Ditmars Boulevard station,-73.91083333333334,40.77611111111111
Beach 25th Street station,-73.76142222222222,40.60006111111111
Beach 36th Street station,-73.76805555555555,40.59527777777778
Beach 44th Street station,-73.77611111111109,40.593055555555566
Beach 60th Street station,-73.78861111111111,40.5925
Beach 67th Street station,-73.79694444444445,40.590833333333336
Beach 90th Street station,-73.8136111111111,40.58805555555556
Beach 98th Street station,-73.82027777777778,40.585555555555565
